year,seq,school_code,school_name,major_group,selection_requirement,score,remark
2024,1180,6122,西安工业大学,02,物理＋化学,553,104 113 96 240 
2024,1181,6123,西安科技大学,01,物理＋化学,531,96 107 106 222 
2024,1182,6124,西安石油大学,01,不限,521,103 89 119 210 
2024,1183,6124,西安石油大学,02,物理＋化学,540,101 104 119 216 
2024,1184,6125,西安工程大学,01,不限,514,93 105 100 216 
2024,1185,6126,陕西理工大学,01,不限,508,89 105 104 210 
2024,1186,6126,陕西理工大学,02,物理＋化学,518,87 122 105 204 
2024,1187,6127,宝鸡文理学院,01,思想政治,496,92 99 98 207 
2024,1188,6129,西安外国语大学,01,不限,519,100 103 103 213 
2024,1189,6130,西北政法大学,01,不限,620,115 113 134 258 
2024,1190,6132,西安财经大学,01,不限,521,95 102 105 219 
2024,1191,6133,西安邮电大学,01,物理＋化学,579,104 118 123 234 
2024,1192,6140,西安培华学院,01,不限,461,83 55 128 195 
2024,1193,6140,西安培华学院,02,物理＋化学,435,76 86 81 192 
2024,1194,6141,西安建筑科技大学华清学院,01,物理＋化学,434,    
2024,1195,6143,西安工商学院,01,物理,438,93 86 70 189 
2024,1196,6145,西安科技大学高新学院,01,不限,469,96 44 122 207 
2024,1197,6145,西安科技大学高新学院,02,物理,467,87 102 92 186 
2024,1198,6146,西安交通大学城市学院,01,不限,469,89 87 80 213 
2024,1199,6159,西安思源学院,01,物理＋化学,434,    
2024,1200,6210,兰州大学,01,不限,618,120 122 124 252 
2024,1201,6210,兰州大学,02,历史,621,119 103 123 276 
2024,1202,6210,兰州大学,03,物理＋化学,625,116 121 130 258 
2024,1203,6215,西北民族大学,01,不限,520,99 111 79 231 
2024,1204,6215,西北民族大学,02,化学,517,97 91 101 228 
2024,1205,6215,西北民族大学,03,物理＋化学,474,98 87 103 186 
2024,1206,6216,兰州理工大学,01,不限,514,97 93 111 213 
2024,1207,6216,兰州理工大学,02,物理,510,97 75 125 213 
2024,1208,6216,兰州理工大学,03,物理＋化学,510,102 83 109 216 
2024,1209,6217,兰州交通大学,01,物理＋化学,526,93 106 111 216 
2024,1210,6218,西北师范大学,01,物理＋化学(中外合办),434,    
2024,1211,6218,西北师范大学,02,不限,547,107 99 107 234 
2024,1212,6218,西北师范大学,03,地理,534,109 105 98 222 
2024,1213,6218,西北师范大学,04,物理＋化学,434,    
2024,1214,6219,兰州财经大学,01,不限,492,103 97 97 195 
2024,1215,6219,兰州财经大学,02,物理,488,88 97 108 195 
2024,1216,6220,甘肃政法大学,01,不限,534,103 97 124 210 
2024,1217,6220,甘肃政法大学,02,思想政治,520,103 98 106 213 
2024,1218,6220,甘肃政法大学,03,物理＋化学,473,84 88 118 183 
2024,1219,6301,青海大学,01,不限,571,113 105 119 234 
2024,1220,6301,青海大学,02,物理＋化学,573,105 120 96 252 
2024,1221,6301,青海大学,03,物理＋化学＋生物,590,80 129 135 246 
2024,1222,6304,青海理工学院,01,物理,464,92 103 59 210 
2024,1223,6304,青海理工学院,02,物理＋化学,434,    
2024,1224,6410,北方民族大学,01,不限,493,94 74 103 222 
2024,1225,6410,北方民族大学,02,物理＋化学,504,89 105 100 210 
2024,1226,6505,新疆大学,01,不限,551,95 98 103 255 
2024,1227,6505,新疆大学,02,物理,555,101 112 132 210 
2024,1228,6505,新疆大学,03,物理＋化学,565,105 104 125 231 
2024,1229,6510,石河子大学,01,物理,513,103 99 92 219 
2024,1230,6510,石河子大学,02,物理＋化学,531,98 98 92 243 
2024,1231,6511,新疆农业大学,01,不限,474,89 98 104 183 外语线:90
2024,1232,6511,新疆农业大学,02,物理＋化学,434,    
2024,1233,6513,伊犁师范大学,01,物理＋化学,434,    
2024,1234,6514,新疆财经大学,01,不限,477,96 112 71 198 
2024,1235,6514,新疆财经大学,02,物理,466,93 95 77 201 
2024,1236,6514,新疆财经大学,03,物理＋化学,443,92 94 89 168 
2024,1237,6516,中国石油大学(北京)克拉玛依校区,01,物理＋化学,558,110 109 105 234 
2024,1238,6517,塔里木大学,01,不限,476,95 82 98 201 
2024,1239,6517,塔里木大学,02,物理＋化学,434,    
2024,1240,6518,喀什大学,01,不限,481,110 83 90 198 
2024,1241,6518,喀什大学,02,思想政治,485,97 80 92 216 
2024,1242,6518,喀什大学,03,物理＋化学,434,    
2024,1243,6519,新疆政法学院,01,不限,479,100 94 87 198 
2024,1244,6519,新疆政法学院,02,物理＋化学,434,    
2024,1245,6521,新疆和田学院,01,不限,460,113 72 65 210 
2024,1246,6521,新疆和田学院,02,思想政治,463,86 92 75 210 
2024,1247,6521,新疆和田学院,03,物理＋化学,434,    
2024,1248,6522,昌吉学院,01,不限,478,97 82 107 192 
2024,1249,6522,昌吉学院,02,思想政治,477,96 93 96 192 
2024,1250,6522,昌吉学院,03,物理＋化学,434,    
2024,1251,6523,新疆理工学院,01,物理＋化学,434,    
2024,1252,6524,新疆科技学院,01,不限,460,91 93 48 228 
2024,1253,7103,北京邮电大学(宏福校区),01,物理＋化学(中外合办),638,    
2024,1254,7103,北京邮电大学(宏福校区),02,物理＋化学(中外合办),624,112 127 130 255 
2024,1255,7321,中国人民大学(苏州校区),01,不限(中外合办),647,105 136 145 261 
2024,1256,7321,中国人民大学(苏州校区),02,物理＋化学(中外合办),656,118 131 137 270 
2024,1257,7371,北京交通大学(威海校区),01,不限(中外合办),612,108 115 131 258 
2024,1258,7371,北京交通大学(威海校区),02,物理＋化学(中外合办),610,104 132 137 237 
